rape-arrested,31117
rape-arrested-chargesheeted,28925
rape-arrested-chargesheeted-convicted,4821
kidnapping-arrested,49083
kidnapping-arrested-chargesheeted,34936
kidnapping-arrested-chargesheeted-convicted,4273
dowry-arrested,24418
dowry-arrested-chargesheeted,20600
dowry-arrested-chargesheeted-convicted,4296
cruelty-arrested,197762
cruelty-arrested-chargesheeted,176030
cruelty-arrested-chargesheeted-convicted,16402
assualtmodesty-arrested,56827
assualtmodesty-arrested-chargesheeted,54402
assualtmodesty-arrested-chargesheeted-convicted,8183
insultmodesty-arrested,11109
insultmodesty-arrested-chargesheeted,10247
insultmodesty-arrested-chargesheeted-convicted,3136
